OcHtgTbal,OcHtgSlope,OcHtgYint,UnHtgTbal,UnHtgSlope,UnHtgYint,OcClgTbal,OcClgSlope,OcClgYint,UnClgTbal,UnClgSlope,UnClgYint,R2OcHtg,R2UnHtg,R2OcClg,R2UnClg,CVOcHtg,CVUnHtg,CVOcClg,CVUnClg
6,-3.2615,3.2369,9,-2.6594,2.5101,14,6.1797,0.24252,15,4.9993,0.03111,0.94822,0.92119,0.88042,0.8985,0.34223,0.35573,0.64234,0.74557
3,-4.1406,63.768,3,-1.1671,0.14651,12,5.3953,0.17499,1,0,0,0.56531,0.80873,0.85825,NaN,0.28654,0.73303,0.64703,NaN
11,-2.3892,2.3837,5,-0.78083,0.16163,15,4.9672,5.2511,1,0,0,0.759,0.82091,0.86212,NaN,0.66928,0.63545,0.75124,NaN
25,-3.8409,5.3327,23,-3.1378,1.8988,13,5.8088,0.022313,13,4.6478,0.14485,0.71038,0.72029,0.88269,0.86349,0.40663,0.42256,0.61425,0.74461
17,-2.2818,1.7246,1,-0.89143,0.13242,14,6.533,6.9359,1,0,0,0.47909,0.81805,0.84791,NaN,0.92207,0.77621,0.75173,NaN
9,-2.6204,0.65754,4,-1.5222,0.53481,15,3.3886,0.092229,16,1.5829,0.018835,0.71662,0.84389,0.8907,0.91108,0.77686,0.59117,0.64537,0.75329
12,-4.4546,5.1403,10,-2.282,0.38902,15,6.0536,0.22961,16,3.326,0.087533,0.76312,0.71174,0.90576,0.80163,0.55654,0.71825,0.59126,1.1835
25,-2.5202,7.2143,24,-2.0559,1.5596,13,4.275,4.4258,13,2.9645,0.083607,0.64724,0.69324,0.88492,0.88223,0.43756,0.42711,0.6142,0.68529
1,-3.5282,52.699,4,-3.9222,28.557,14,8.8833,0.33386,15,6.85,0.085504,0.6259,0.91889,0.88447,0.90072,0.23877,0.16866,0.63036,0.73295
13,-6.291,2.9701,2,-0.91398,0.099844,15,7.8673,0.24737,1,0,0,0.83666,0.75785,0.88149,NaN,0.45946,0.89718,0.67415,NaN
17,-3.4061,3.1277,1,-0.42683,0.053679,13,5.2464,0.30646,1,0,0,0.82015,0.80714,0.84883,NaN,0.40877,0.80993,0.69718,NaN
16,-3.0384,2.7938,5,-1.1274,0.23339,13,5.0938,0.016184,1,0,0,0.81672,0.83247,0.86318,NaN,0.46735,0.61031,0.67096,NaN
22,-4.5913,0.098386,12,-2.1865,1.8871,14,5.2807,0.034557,16,2.9191,0.20467,0.79737,0.60175,0.89482,0.78496,0.39018,0.79143,0.60568,1.1968
8,-4.9358,3.2184,1,-0.46436,0.22428,14,6.502,0.19554,1,0,0,0.89577,0.7704,0.85377,NaN,0.41103,1.1258,0.72407,NaN
7,-3.908,0.61076,12,-3.1281,0.41427,14,5.7706,5.9069,15,2.9699,3.119,0.77854,0.81864,0.8625,0.84092,0.72139,0.49475,0.71942,0.98442
